User,cntFollows,cntFollowers,cntWeibo,Content,P_time,P_timestamp,Offset,postURL,userEnd,cntForward,cntComment,cntLike,O_User,O_UserPage,O_Content,O_time,O_timestamp,O_URL,O_userEnd,转发_转发数,转发_评论数,转发_点赞数
北京边检,398,867218,3078,置顶                                                                                      #重要政策发布#自2016年3月1日起，苏里南对赴苏旅游的中国公民实施落地办理旅游卡入境政策。中国公民可持有效护照和订妥座位的联程客票出行。长微博附：《3月7日修订版本52个可持普通护照免签落地签国家/地区名录+中国边检出境查验政策+境外入境指南》【还是那个北京边检 还是那个业...展开全文c,2016-03-07 17:21,1457342460,0.756374319675682,http://weibo.com/2778606994/DlafE8aux?from=page_1001062778606994_profile&amp;amp;wvr=6&amp;amp;mod=weibotime,360安全浏览器,42,89,24,,,,,,,,0,0,0
北京边检,398,867218,3078,#开航提示#5月28日，香港航空将开通每周两班，香港——马来西亚古晋的直航航线，空客A320执飞。,2016-05-05 16:36,1462437360,1,http://weibo.com/2778606994/Du8aHyhGE?from=page_1001062778606994_profile&amp;amp;wvr=6&amp;amp;mod=weibotime,360安全浏览器,1,3,5,,,,,,,,0,0,0
北京边检,398,867218,3078,当地时间3日傍晚6点左右，一名中国游客的背包在意大利佛罗伦萨的一家咖啡店内被盗，随后她住的酒店房间又被洗劫一空，不仅行程被打乱，还损失了价值5万多元人民币的财物【联合巡逻不是没有道理的，据闻巴黎也是盗抢重灾区，这种模式可以推广】,2016-05-05 15:27,1462433220,0.999802035306573,http://weibo.com/2778606994/Du7IDoPBo?from=page_1001062778606994_profile&amp;amp;wvr=6&amp;amp;mod=weibotime,360安全浏览器,12,11,10,北京边检,/bjcii?refer_flag=1005055013_,#中国警察意大利巡逻#据新华社消息，中国与意大利警方2日在罗马启动首次联合巡逻，预计持续巡逻两周，中方警察协助意大利警方处理与中国游客安全等相关的事务，为游客与意警方沟通提供便利【小边也想去巡个逻】,2016-05-03 15:40,1462257600,/2778606994/DtOXj2GiT,360安全浏览器,24,18,17
北京边检,398,867218,3078,#小边的今日话题#据媒体，4月30日CA1332郑州飞北京航班，飞机快降落时，一个小女孩要上厕所，女孩家人竟让她蹲在座位下面小便，对此，国航工作人员回应称情况属实。每回看到类似的新闻，评论必然分为两派，一方说素质，请注意素质，另一方说孩子小，要多理解。不知各位怎么看？,2016-05-04 10:12,1462327920,0.994766846365053,http://weibo.com/2778606994/DtWekCUWx?from=page_1001062778606994_profile&amp;amp;wvr=6&amp;amp;mod=weibotime,360安全浏览器,57,181,41,,,,,,,,0,0,0
北京边检,398,867218,3078,类似的案例有很多，收小费的边检也不只此一国，但有意思的是，据小边了解，几乎所有收小费的边检都是只针对中国人。具体是为什么，就不详细分析了，但小边觉得各位应该团结起来，集体抵制“小费”，合理合法地维护自己的权益。,2016-05-03 16:39,1462264740,0.991745733000141,http://weibo.com/2778606994/DtPl96o37?from=page_1001062778606994_profile&amp;amp;wvr=6&amp;amp;mod=weibotime,360安全浏览器,46,81,25,Vista看天下,/vistastory?refer_flag=1005055013_,"【网曝中国旅客回国遭越南海关刁难 不给小费扣护照】昨日网曝在越南芽庄机场出关口,越南边检人员向中国游客索取10元人民币小费,一位母亲拒给,孩子护照被扣,对方要求母亲交100元才能出关,并向后面过关的中国游客索取30元小费,引起在场中国游客不满。有边检人员拿电击枪向游客挥舞。O网曝中国游客遭越南边检扣护照 因不给小费",2016-05-03 10:19,1462238340,/1323527941/DtMQFAT8a,360安全浏览器,555,1267,470
北京边检,398,867218,3078,#中国警察意大利巡逻#据新华社消息，中国与意大利警方2日在罗马启动首次联合巡逻，预计持续巡逻两周，中方警察协助意大利警方处理与中国游客安全等相关的事务，为游客与意警方沟通提供便利【小边也想去巡个逻】,2016-05-03 15:40,1462261200,0.991576458841993,http://weibo.com/2778606994/DtOXj2GiT?from=page_1001062778606994_profile&amp;amp;wvr=6&amp;amp;mod=weibotime,360安全浏览器,24,18,17,,,,,,,,0,0,0
北京边检,398,867218,3078,好像的确是这样//@ExSSer_Geo从菊国回来了: @HRH_HsuTzuyen @豪在日本  //@吾爱全球签证中心:是啊，韩国5.1后取消赴日本经由韩国免签入境的政策了，也就是说想去日本和韩国必须要办理两个国家签证了,2016-04-29 13:30,1461907800,0.974677733562475,http://weibo.com/2778606994/Dtcokmm1U?from=page_1001062778606994_profile&amp;amp;wvr=6&amp;amp;mod=weibotime,360安全浏览器,14,7,6,此诚,/tozoku?refer_flag=1005055013_,@吾爱全球签证中心 @北京边检 @护照收藏 韩国对持日本签证过境韩国的免签说不了 2日本,2016-04-28 17:17,1461831420,/1695020460/Dt4rSBw0a,iPhone 6 Plus,21,3,0
北京边检,398,867218,3078,请在日本的我国公民注意安全,2016-04-16 09:17,1460769420,0.920243180977028,http://weibo.com/2778606994/Drcb5itiX?from=page_1001062778606994_profile&amp;amp;wvr=6&amp;amp;mod=weibotime,iPad客户端,8,16,9,京华时报,/jhsb?refer_flag=1005055013_,【日本九州今凌晨发生7.3级地震，现场集锦】日本熊本今凌晨发生7.3级地震，之后多次余震接连发生。 著名古迹熊本城遭到严重损毁，震后引起的山体滑坡更是将道路劈成两段，路旁汽车摇摇欲坠，现场：L日本7.3级地震已致9人死亡 古迹熊本城遭损毁,2016-04-16 08:28,1460762880,/1697601814/DrbRv8WDa,360安全浏览器,114,108,65
北京边检,398,867218,3078,小边的第一次微信线上分享就贡献给LP了 //@LonelyPlanet:#线上分享#【2016最新签证+边检政策解读】边检专场全程回顾来啦！戳链接来看看@北京边检  新闻中心负责人胡振华带来的2016最新边检政策全解读吧！O全程回顾 | Lonely Planet 微信沙龙No.08 201...,2016-04-13 20:14,1460549640,0.909733837904214,http://weibo.com/2778606994/DqOckzXUE?from=page_1001062778606994_profile&amp;amp;wvr=6&amp;amp;mod=weibotime,iPhone 6s,9,21,10,LonelyPlanet,/lonelyplanet?refer_flag=1005055013_,#线上分享#【2016最新签证+边检政策解读】想知道最新最全的出入境信息？想知道来自签证专家的权威建议？ 3月30日、31日晚20点，我们邀请国家出入境权威机构@北京边检，和资深签证专家@吾爱全球签证中心，带你全方位了解最新签证资讯和边检政策！关注/公/号lonelyplanet-cn回复“WXSL08”获取报名方式！,2016-03-25 22:01,1458910860,/1681971781/DnVMlhHot,iPhone 6,170,23,40
北京边检,398,867218,3078,我估计很可能是他在申请时，向签证官说明了自己需要短时间内在欧洲多国往返的行程 //@吾爱全球签证中心:噗！哪个苦命的孩子这得坐火箭往返德国,2016-04-12 22:31,1460471460,0.905995461157319,http://weibo.com/2778606994/DqFFnouYr?from=page_1001062778606994_profile&amp;amp;wvr=6&amp;amp;mod=weibotime,iPhone 6s,14,23,11,签证收藏,/u/2388170370?refer_flag=1005055013_,#签证收藏# 德国果然很坑！给了3天，还是多次的@吾爱全球签证中心 @北京边检 @护照收藏,2016-04-12 18:01,1460451660,/2388170370/DqDTKs0rB,iPhone 6 Plus,113,30,11
